triangle_id,x,y,angle
1,300,60,0
2,250,120,0
3,200,180,0
4,150,240,0
5,100,300,0
6,200,300,60
7,250,240,60
8,300,180,60
9,350,120,60
10,400,60,60
11,350,180,120
12,400,240,120
13,450,300,120
14,500,240,180
15,550,180,180
16,600,120,180
